,Non-Robust RL,Momentum,Robust RL ($\ell_p$-Ball),Robust RL ($\ell_p$-Ellipse),META
2022-06-09,99999.99426106762,100000.0,99999.99991735938,99996.25898004777,95499.5499549955
2022-06-10,99607.83129989193,100000.0,99954.55603171886,96281.8255854639,101758.17581758178
2022-06-13,94334.01734874527,100000.0,103132.92214203595,96189.62080595062,96441.64416441644
2022-06-14,95723.40877849876,100000.0,101760.59551460468,91579.76703694277,95469.54695469548
2022-06-15,95770.42844948541,100000.0,100982.13756688053,92106.90738385558,95967.59675967597
2022-06-16,95462.1236994155,100000.0,100570.98714972692,92457.92838357601,96123.61236123613
2022-06-17,95396.8736795598,100000.0,100553.63943424945,92509.42832842124,101290.1290129013
2022-06-21,93126.4407604378,100000.0,103382.97992365532,94323.99704816523,102352.23522352237
2022-06-22,92448.05084837701,100000.0,103682.10946324945,94491.99787665851,100276.02760276031
2022-06-23,92183.96886788053,100000.0,103145.74980976597,93291.35622318735,102160.21602160217
2022-06-24,90465.56164715822,100000.0,104134.59123468894,94073.85168430359,101128.11281128113
2022-06-27,91183.02219895013,100000.0,104139.67524496326,93723.45378214504,107014.70147014702
2022-06-28,91721.446647944,100000.0,103297.73523513973,92881.38499318757,106504.6504650465
2022-06-29,91760.45594149739,100000.0,103367.11331498505,92762.38170245361,108310.83108310832
2022-06-30,91670.1469922335,100601.29542387492,104239.97928540909,94270.14660200289,108544.85448544857
2022-07-01,91682.02859019992,99507.83185247071,104309.16334034943,94344.81250405121,107692.76927692772
2022-07-05,91316.6756488372,100992.37567887995,104176.17191663808,93745.4892548694,104920.49204920496
2022-07-06,92624.08074191013,100992.37567887995,103635.38686669258,92960.06797696021,104806.48064806484
2022-07-07,92649.06548264736,100992.37567887995,103673.35457769476,92909.90768589757,100786.07860786082
2022-07-08,92200.15873735165,100992.37567887995,102252.89971780695,91214.63401997849,97839.78397839787
2022-07-11,92136.1929881732,101008.68352082792,101968.69242147211,91317.19768117451,96675.6675667567
2022-07-12,92784.85137952009,101008.68352082792,101966.65648566652,90599.82995779865,97965.79657965798
2022-07-13,91607.63234845677,101008.68352082792,102368.39263163168,91517.82520003279,101278.1278127813
2022-07-14,89088.95150911527,101036.87753432947,102829.84134581604,93624.98038003872,97077.7077707771
2022-07-15,92144.31086519768,101018.6889286579,101428.86038173125,92301.45965813803,95511.55115511552
2022-07-18,93330.43470824254,99735.05291677176,101160.57528704294,91854.31608162494,94305.43054305432
2022-07-19,94328.3545329101,100799.43276907754,100746.75278476762,91238.53372437769,97767.77677767779
2022-07-20,91378.53968740886,101480.54454544076,102143.90193991612,92837.03368847707,99225.92259225926
2022-07-21,90527.82912580424,101480.54454544076,102220.73204382278,93506.84394489662,96201.62016201622
2022-07-22,93153.96672101309,101413.07450929238,101314.92897381334,94782.66170302505,95133.51335133515
2022-07-25,94147.52331152279,101158.79462844942,100688.08878485621,94179.64629648798,96243.62436243625
2022-07-26,93395.39267321731,102681.96000235573,100503.2290649992,94946.41258371453,97245.72457245726
2022-07-27,92709.79494171322,104331.4777041022,100125.60837525588,95746.71033803633,101500.1500150015
2022-07-28,89020.83470875418,103329.57336393921,99548.31193766445,97478.43240251103,101386.13861386139
2022-07-29,89116.81042550768,103329.57336393921,99547.93266685324,97372.87522273524,91887.18871887188
2022-08-01,93628.3290337299,103091.19722506398,98075.71428686386,99265.08038196186,90891.08910891089
2022-08-02,94295.74513439502,103091.19722506398,98108.62518970354,98449.96347370604,89738.97389738973
2022-08-03,95436.46328083142,103873.798031956,99137.61480768785,97215.16342221816,87782.77827782776
2022-08-04,97208.76898152196,103873.798031956,100578.40324460539,95151.35381770553,88820.88208820882
2022-08-05,97300.99691586113,103873.798031956,100980.78708594557,95947.71329586401,87662.76627662766
2022-08-08,98296.8279551672,102945.50124685976,101499.76124316992,95023.23885165903,85280.52805280527
2022-08-09,99736.76098459453,102945.50124685976,101327.74643235139,93295.17188108634,85700.5700570057
2022-08-10,99612.2403064316,102945.50124685976,101419.72862970651,93658.41303001226,84254.42544254425
2022-08-11,100906.22960365404,102945.50124685976,100133.59026609315,94336.47789408537,81830.18301830183
2022-08-12,103640.18690577673,102945.50124685976,100585.35927270626,93534.40373473422,80648.06480648064
2022-08-15,104024.07540435423,102945.50124685976,100847.99792342624,92385.71765201226,84974.49744974497
2022-08-16,99855.26665069179,102945.50124685976,100077.59779862463,94725.64946158646,81854.18541854185
2022-08-17,102502.25794974498,102945.50124685976,100672.14737588968,92078.60819150275,81416.1416141614
2022-08-18,103000.18995780147,102629.46195982092,100746.0171398156,91680.48603136584,83174.31743174317
2022-08-19,101652.62735264386,102555.85471032548,101230.62639984676,93169.72500713164,84176.41764176417
2022-08-22,100507.22604587836,102644.94784069266,101384.14192772991,93683.75899925418,83396.33963396338
2022-08-23,101425.94603822535,102644.94784069266,101356.77714459764,93123.53137724337,83450.34503450344
2022-08-24,101317.71385336632,102656.74599015054,101368.46171436546,93221.60620382168,80078.00780078008
2022-08-25,103539.71821661266,102868.71273042292,100110.68984096133,90469.28598143357,80282.02820282028
2022-08-26,103340.92484032444,104319.44241615606,100126.5712315735,90613.99591512475,77131.71317131713
2022-08-29,105443.79774719861,104319.44241615606,100822.4898918298,88060.17407045678,76507.65076507651
2022-08-30,106251.38020570489,104245.45096386415,100308.04481913836,87295.49456726562,78181.81818181819
2022-08-31,105240.2640773381,104245.45096386415,100363.40762193204,88841.15442196403,76063.6063606361
2022-09-01,107150.70629324208,101789.27595250272,100788.72154199083,86958.02268986349,80432.04320432046
2022-09-02,101706.07187787909,102124.7767827247,100319.32486179497,89564.56841165808,79687.96879687972
2022-09-06,102615.6737582362,101311.74732262563,100547.25030471098,88680.63651402999,79945.99459945997
2022-09-07,102401.93369316956,101311.74732262563,100708.18882005085,88902.83090555445,78925.89258925895
2022-09-08,103047.68246898461,101311.74732262563,100772.8741320185,88437.33078965529,78013.80138013803
2022-09-09,103632.1287527964,102674.16620011484,100547.90351589856,88031.77959126202,77839.78397839786
2022-09-12,103831.60358709111,102163.52430425378,100481.3348633417,87914.01077603872,82514.25142514253
2022-09-13,99715.98346589456,104520.87148262128,99944.48621361204,92060.61979096688,77899.78997899791
2022-09-14,103738.10163562383,103913.69156776018,101423.2128640378,89976.17346045173,58769.87698769878
2022-09-15,119299.68278698307,102920.4270225808,91655.12111350072,86501.03556788969,59525.952595259536
2022-09-16,119604.13242593966,102208.67967450921,90951.22154147447,87152.36229662901,55901.59015901591
2022-09-19,120869.38076331021,102208.67967450921,95891.19791499201,81778.04533036788,57125.712571257136
2022-09-20,120512.56433004308,102208.67967450921,95442.24630886219,83842.38248001822,54329.43294329434
2022-09-21,119926.30152642207,102208.67967450921,96630.95598517262,79592.94246007146,53351.335133513356
2022-09-22,120595.34083472683,102208.67967450921,97166.67822090113,78109.30987068304,54479.44794479449
2022-09-23,120046.05610641118,101681.44817741169,97874.62232519848,78828.95037987691,58037.80378037804
2022-09-26,121089.23159679396,101340.28462737007,97940.72359586423,82678.34411157691,57887.78877887789
2022-09-27,121144.61716795142,101340.28462737007,98070.00858390541,82556.6968657711,60888.08880888089
